GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051525,12/1/2020,1210,12/5/2020,CS,WQ,QCEB M-001,Equipment Blank M-001 A,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.43,NG/L,
NPD100051525,12/1/2020,1225,12/5/2020,CS,WW,M-INF,M-INF Duplicate,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.43,NG/L,
NPD100051525,12/1/2020,1225,12/5/2020,CS,WW,M-INF,M-INF,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,1200,12/5/2020,CS,WW,M-001 A,M-001 A,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,1235,12/5/2020,CS,WQ,QCEB M-INF,Equipment Blank M-INF,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.43,NG/L,
NPD100051525,12/1/2020,1225,12/5/2020,CS,WQ,QCFB M-INF,Field Blank M-INF,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,0,12/5/2020,CS,WQ,QCTB,Trip Blank,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,1200,12/5/2020,CS,WQ,QCFB M-001,Field Blank M-001 A,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,1200,12/5/2020,CS,WW,M-001 A,M-001 A Duplicate,E537,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,1.7,0.42,NG/L,
NPD100051525,12/1/2020,1210,12/5/2020,CS,WQ,QCEB M-001,Equipment Blank M-001 A,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,91,0,0,PERCENT,
NPD100051525,12/1/2020,1225,12/5/2020,CS,WW,M-INF,M-INF Duplicate,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,24,0,0,PERCENT,GR
NPD100051525,12/1/2020,1225,12/5/2020,CS,WW,M-INF,M-INF,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,28,0,0,PERCENT,GR
NPD100051525,12/1/2020,1200,12/5/2020,CS,WW,M-001 A,M-001 A,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,71,0,0,PERCENT,
NPD100051525,12/1/2020,1200,12/5/2020,CS,WW,M-001 A,M-001 A Duplicate,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,63,0,0,PERCENT,
NPD100051525,12/1/2020,1225,12/5/2020,CS,WQ,QCFB M-INF,Field Blank M-INF,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,107,0,0,PERCENT,
NPD100051525,12/1/2020,0,12/5/2020,CS,WQ,QCTB,Trip Blank,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,81,0,0,PERCENT,
