GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,50000,20000,NG/KG,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,50000,20000,NG/KG,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,17.3,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,23.4,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,24.8,,,PERCENT,VSL
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,18.2,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,95.8,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,76.7,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,108,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,101,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,81.3,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,89,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,68.2,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,87.1,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,77.9,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,83.7,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,70.7,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,87.2,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,67.9,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C5PFPA,13C5 Perfluoropentanoic acid,SU,85.1,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,33.3,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,76,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,34.5,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,47.2,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,85.8,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,53.6,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,45.4,,,PERCENT,VSL
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,116,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,61.4,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,72.6,,,PERCENT,
NPD100052058,12/21/2020,1028,1/4/2021,CS,SO,EWACLASSB,0L22028-02/ENCINA CLASS B,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,80.3,,,PERCENT,
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,13C9-PFNA,13C9-Perfluorononanoic acid,SU,47.2,,,PERCENT,VSL
NPD100052058,12/21/2020,1032,1/4/2021,CS,SO,EWACLASSA,0L22028-01/ENCINA CLASS A,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,20000,8000,NG/KG,
