GLOBAL ID,REPORTING YEAR,FACILITY PLACE ID,SITE NAME,SITE TYPE,LEAD AGENCY,FAC PRODUCE REC WATER,SOLELY REC TREAT,SUBMIT DATE,FACILITY TYPE,LATITUDE DECIMAL DEGREES,LONGITUDE DECIMAL DEGREES
WDR100028344,2019,273115,Fresno Regional WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,3/24/2020,WWTP RW,36.70638,-119.890539
NPD100051508,2019,240791,Millbrae WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,7/1/2020,WWTP,37.60371,-122.37894
NPD100051564,2019,241288,Montecito SD WWTP,* NPDES,CENTRAL COAST RWQCB (REGION 3),N,NaN,11/17/2020,WWTP,34.42011,-119.65189
NPD100051602,2019,222491,El Portal WWTF,* NPDES,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,7/24/2020,WWTP RW,37.66838,-119.81175
WDR100029268,2019,212858,Cambria CSD WWTP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),Y,N,4/8/2020,WWTP RW,35.56323,-121.09079
WDR100035384,2019,245581,Oak Shores Lake Nacimiento,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,4/30/2020,WWTP,35.75317,-120.98514
NPD100051797,2019,252657,Richmond WPCP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,4/10/2020,WWTP,37.920896,-122.378081
NPD100051556,2019,256507,SF Airport Mel Leong TP-Sanitary Waste,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/27/2020,WWTP RW,37.63731,-122.38466
NPD100051623,2019,236598,Las Gallinas WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/9/2020,WWTP RW,38.021242,-122.52459
WDR100036052,2019,273131,Reedley WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,9/2/2020,WWTP,36.58189,-119.46542
WDR100001039,2019,266940,Tapia WRF,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,2/13/2020,WWTP RW,34.081499,-118.704268
NPD100051554,2019,255462,San Simeon WWTP,* NPDES,CENTRAL COAST RWQCB (REGION 3),N,NaN,4/15/2020,WWTP,35.611701,-121.145574
