GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051597,12/2/2020,1142,12/11/2020,CS,W,INFLUENT,2006075-01,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,24,NG/L,
NPD100051597,12/2/2020,1032,12/11/2020,CS,W,FINAL EFF,2006075-02,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,80,24,NG/L,
NPD100051597,12/2/2020,1142,12/11/2020,CS,W,INFLUENT,2006075-01,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,60.4,,,PERCENT,
NPD100051597,12/2/2020,1032,12/11/2020,CS,W,FINAL EFF,2006075-02,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,88.1,,,PERCENT,
NPD100051597,12/2/2020,1032,12/11/2020,CS,W,FINAL EFF,2006075-02,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,66.9,,,PERCENT,
NPD100051597,12/2/2020,1142,12/11/2020,CS,W,INFLUENT,2006075-01,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,63.9,,,PERCENT,
NPD100051597,12/2/2020,1142,12/11/2020,CS,W,INFLUENT,2006075-01,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,97.9,,,PERCENT,
NPD100051597,12/2/2020,1032,12/11/2020,CS,W,FINAL EFF,2006075-02,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,SU,90.1,,,PERCENT,
NPD100051597,12/2/2020,1142,12/11/2020,CS,W,INFLUENT,2006075-01,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,138,,,PERCENT,
NPD100051597,12/2/2020,1032,12/11/2020,CS,W,FINAL EFF,2006075-02,QSMPFAS,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,97.7,,,PERCENT,
