GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051948,1/30/2021,805,2/16/2021,CS,W,QCFB,Field Blank,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2.01,2.01,2.01,NG/L,U
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent Dup,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2.17,2.17,2.17,NG/L,U
NPD100051948,1/30/2021,820,2/16/2021,CS,W,IRWDRAW,IRWD Influent,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2.08,2.08,2.08,NG/L,U
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2,2,2,NG/L,U
NPD100051948,1/30/2021,820,2/16/2021,CS,W,IRWDRAW,IRWD Influent,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,101,,,PERCENT,
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent Dup,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,103,,,PERCENT,
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,97.1,,,PERCENT,
NPD100051948,1/30/2021,805,2/16/2021,CS,W,QCFB,Field Blank,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,90.8,,,PERCENT,
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,67.1,,,PERCENT,
NPD100051948,1/30/2021,810,2/16/2021,CS,W,IRWDEFFLUENT,IRWD Effluent Dup,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,67.4,,,PERCENT,
NPD100051948,1/30/2021,820,2/16/2021,CS,W,IRWDRAW,IRWD Influent,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,49.5,,,PERCENT,
NPD100051948,1/30/2021,805,2/16/2021,CS,W,QCFB,Field Blank,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,84.2,,,PERCENT,
NPD100051948,1/30/2021,805,2/16/2021,CS,W,QCFB,Field Blank,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,93.4,,,PERCENT,
