GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100000408,1/20/2021,950,2/4/2021,CS,SO,BIO-001,2102222-01,D2216,MOIST,Percent Moisture,=,82.1,2,2,PERCENT,
WDR100000408,1/20/2021,1000,2/8/2021,CS,W,QCEBINF-001,2102226-02,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,8,1.2,NG/L,
WDR100000408,1/20/2021,950,2/8/2021,CS,SO,BIO-001,2102222-01,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,50000,20000,NG/KG,
WDR100000408,1/20/2021,1030,2/8/2021,CS,W,QCEBEFF-001B,2102226-01,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,8,1.2,NG/L,
WDR100000408,1/20/2021,1030,2/8/2021,CS,W,QCEBEFF-001B,2102226-01,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,68.5,,,PERCENT,
WDR100000408,1/20/2021,950,2/8/2021,CS,SO,BIO-001,2102222-01,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,14.6,,,PERCENT,VSL
WDR100000408,1/20/2021,1000,2/8/2021,CS,W,QCEBINF-001,2102226-02,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,64,,,PERCENT,
WDR100000408,1/20/2021,1030,2/8/2021,CS,W,QCEBEFF-001B,2102226-01,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,72.7,,,PERCENT,
WDR100000408,1/20/2021,950,2/8/2021,CS,SO,BIO-001,2102222-01,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,13.8,,,PERCENT,VSL
WDR100000408,1/20/2021,1000,2/8/2021,CS,W,QCEBINF-001,2102226-02,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,67.7,,,PERCENT,
