GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100030237,1/1/2020,732,1/1/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 248654002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/1/2020,732,1/1/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 248654002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/1/2020,700,1/3/2020,CS,W,PA-WRP-INF,Palm_Raw C24 248651001,A5220D,COD,Chemical Oxygen Demand,=,684,25,8.5,MG/L,
WDR100030237,1/1/2020,700,1/6/2020,CS,W,PA-WRP-INF,Palm_Raw C24 248651001,A5210B,BOD5,"Biologic Oxygen Demand, Five-Day",=,429,100,0.6,MG/L,
WDR100030237,1/1/2021,725,1/1/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 269802001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/1/2021,725,1/1/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 269802001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/10/2020,725,1/10/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249253001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/10/2020,725,1/10/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249253001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/10/2021,724,1/10/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270292002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/10/2021,724,1/10/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270292002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/11/2020,736,1/11/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249299002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/11/2020,736,1/11/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249299002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/11/2021,715,1/11/2021,CS,W,PA-WRP-INF,Palm_Raw C24 270343001,A5220D,COD,Chemical Oxygen Demand,=,950,50,7.4,MG/L,
WDR100030237,1/11/2021,728,1/11/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270345001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/11/2021,728,1/11/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270345001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/11/2021,728,1/11/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270345002,H10360,DO,"Oxygen, Dissolved",=,8,0.2,-1,MG/L,
WDR100030237,1/11/2021,728,1/11/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270345002,A4500HB,PH,pH,=,7.1,-1,-1,PH UNITS,
WDR100030237,1/11/2021,1151,1/11/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270343002,A4500HB,PH,pH,=,7.4,-1,-1,PH UNITS,
WDR100030237,1/11/2021,715,1/16/2021,CS,W,PA-WRP-INF,Palm_Raw C24 270343001,A5210B,BOD5,"Biologic Oxygen Demand, Five-Day",=,504,100,-1,MG/L,
WDR100030237,1/12/2020,731,1/12/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249322002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/12/2020,731,1/12/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249322002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/12/2021,716,1/12/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270423002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/12/2021,716,1/12/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270423002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/13/2020,711,1/13/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249349001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/13/2020,711,1/13/2020,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 249349001,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/13/2021,700,1/13/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te C24 270515004,A5220D,COD,Chemical Oxygen Demand,DN,10.3,25,7.4,MG/L,
WDR100030237,1/13/2021,709,1/13/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270515002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/13/2021,709,1/13/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270515002,A9222B,COLIFORM,"Coliform, Total",ND,0,1,-1,CFU/100ML,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,ACRAMD,Acrylonitrile,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,ACRAMD,Acrylonitrile,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,ACRAMD,Acrylonitrile,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,ACRL,Acrolein,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,ACRL,Acrolein,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,ACRL,Acrolein,ND,0,2,0.64,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BDCME,Bromodichloromethane,ND,0,0.5,0.11,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BDCME,Bromodichloromethane,ND,0,0.5,0.11,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,BDCME,Bromodichloromethane,ND,0,0.5,0.11,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BRME,Bromomethane,ND,0,0.5,0.3,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,BRME,Bromomethane,ND,0,0.5,0.3,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BRME,Bromomethane,ND,0,0.5,0.3,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,BZ,Benzene,ND,0,0.5,0.09,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BZ,Benzene,ND,0,0.5,0.09,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BZ,Benzene,ND,0,0.5,0.09,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BZME,Toluene,DN,0.24,0.5,0.15,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,BZME,Toluene,DN,0.24,0.5,0.15,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,BZME,Toluene,=,0.58,0.5,0.15,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,CEVETH,2-Chloroethyl vinyl ether,ND,0,0.5,0.28,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,CEVETH,2-Chloroethyl vinyl ether,ND,0,0.5,0.28,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,CEVETH,2-Chloroethyl vinyl ether,ND,0,0.5,0.28,UG/L,
WDR100030237,1/13/2021,1030,1/14/2021,CS,W,PA-WRP-INF,Palm_Raw GRAB 270538009,E624.1,CLBZ,Chlorobenzene,ND,0,0.5,0.1,UG/L,
WDR100030237,1/13/2021,859,1/14/2021,CS,W,PA-WRP-EFF,Palm_Cl_Te GRAB 270538003,E624.1,CLBZ,Chlorobenzene,ND,0,0.5,0.1,UG/L,
