GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100032535,12/17/2020,1215,12/31/2020,CS,W,QCEB,EB - 121720,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,4.31,4.31,4.31,NG/L,U
WDR100032535,12/17/2020,1140,12/31/2020,CS,W,PSWWTF-EFF,Effluent - 121720,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,4.34,4.34,4.34,NG/L,U
WDR100032535,12/17/2020,1220,12/31/2020,CS,W,QCAB,Ambient Blank - 121720,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,4.33,4.33,4.33,NG/L,U
WDR100032535,12/17/2020,1120,12/31/2020,CS,W,PSWWTF-INF,Influent - 121720,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,4.47,4.47,4.47,NG/L,U
WDR100032535,12/17/2020,1210,12/31/2020,CS,SO,PSWWTF-BIO,Biosolid - 121720,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,1,1,1,NG/G,U
WDR100032535,12/17/2020,1140,12/31/2020,CS,W,PSWWTF-EFF,Effluent - 121720,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,127,,,PERCENT,
WDR100032535,12/17/2020,1120,12/31/2020,CS,W,PSWWTF-INF,Influent - 121720,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,133,,,PERCENT,
WDR100032535,12/17/2020,1220,12/31/2020,CS,W,QCAB,Ambient Blank - 121720,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,126,,,PERCENT,
WDR100032535,12/17/2020,1210,12/31/2020,CS,SO,PSWWTF-BIO,Biosolid - 121720,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,115,,,PERCENT,
WDR100032535,12/17/2020,1215,12/31/2020,CS,W,QCEB,EB - 121720,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,137,,,PERCENT,
WDR100032535,12/17/2020,1120,12/31/2020,CS,W,PSWWTF-INF,Influent - 121720,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,57.1,,,PERCENT,
WDR100032535,12/17/2020,1140,12/31/2020,CS,W,PSWWTF-EFF,Effluent - 121720,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,83.7,,,PERCENT,
WDR100032535,12/17/2020,1210,12/31/2020,CS,SO,PSWWTF-BIO,Biosolid - 121720,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,18.3,,,PERCENT,
WDR100032535,12/17/2020,1220,12/31/2020,CS,W,QCAB,Ambient Blank - 121720,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,89,,,PERCENT,
