GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100035884,1/30/2021,1335,2/11/2021,CS,SO,CSCBIOSOLIDS,CSC Biosolids,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,1.49,1.49,1.49,NG/G,U
WDR100035884,1/30/2021,1320,2/11/2021,CS,W,CSCINF,CSC Influent,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2.67,2.67,2.67,NG/L,U
WDR100035884,1/30/2021,1310,2/11/2021,CS,W,CSCEFF,CSC Effluent,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2.07,2.07,2.07,NG/L,U
WDR100035884,1/30/2021,1335,2/11/2021,CS,SO,CSCBIOSOLIDS,CSC Biosolids,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,67.2,,,PERCENT,
WDR100035884,1/30/2021,1310,2/11/2021,CS,W,CSCEFF,CSC Effluent,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,88.2,,,PERCENT,
WDR100035884,1/30/2021,1320,2/11/2021,CS,W,CSCINF,CSC Influent,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,85.5,,,PERCENT,
WDR100035884,1/30/2021,1335,2/11/2021,CS,SO,CSCBIOSOLIDS,CSC Biosolids,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,8,,,PERCENT,
WDR100035884,1/30/2021,1310,2/11/2021,CS,W,CSCEFF,CSC Effluent,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,67.1,,,PERCENT,
WDR100035884,1/30/2021,1320,2/11/2021,CS,W,CSCINF,CSC Influent,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,22.1,,,PERCENT,
WDR100035884,1/30/2021,1310,2/11/2021,CS,W,CSCEFF,CSC Effluent,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,87.8,,,PERCENT,
WDR100035884,1/30/2021,1320,2/11/2021,CS,W,CSCINF,CSC Influent,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,80.1,,,PERCENT,
WDR100035884,1/30/2021,1335,2/11/2021,CS,SO,CSCBIOSOLIDS,CSC Biosolids,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,65.9,,,PERCENT,
WDR100035884,1/30/2021,1320,2/11/2021,CS,W,CSCINF,CSC Influent,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,66.9,,,PERCENT,
