GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,1,0.3,NG/G,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,50,10,NG/L,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,50,10,NG/L,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,50,10,NG/L,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,49,9.8,NG/L,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,30,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,100,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,78,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,65,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C2PFDOA,13C2 Perfluorododecanoic acid,SU,80,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,47,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,44,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,45,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,75,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,SU,53,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,86,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,104,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C3-PFHXS,"Sodium perfluoro-1-[1,2,3-13C3 ] hexane sulfonate",SU,95,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,88,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,101,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C3PFBS,13C3 Perfluorobutane sulfonate,SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,93,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,79,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,89,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C4PFBTA,13C4 Perfluorobutanoic acid,SU,99,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,101,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,105,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C4PFHPA,13C4Perfluoroheptanoic acid,SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,105,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,98,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,89,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C5-PFHXA,"Perfluoro-n-[1,2,3,4,6-13C5 ] hexanoic acid",SU,79,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C5PFPA,13C5 Perfluoropentanoic acid,SU,78,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C5PFPA,13C5 Perfluoropentanoic acid,SU,94,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C5PFPA,13C5 Perfluoropentanoic acid,SU,88,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C5PFPA,13C5 Perfluoropentanoic acid,SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C5PFPA,13C5 Perfluoropentanoic acid,SU,101,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,88,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,90,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,81,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C6-PFDA,"Perfluoro-n-[1,2,3,4,5,6-13C6 ] decanoic acid",SU,91,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,104,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,82,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C7-PFUNDA,Perfluoro-n-[13C7]undecanoic acid,SU,73,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,96,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,94,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,84,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C8PFOA,Perfluoro-n-[13C8]octanoic acid,SU,102,0,0,PERCENT,
NPD100051624,11/17/2020,825,12/2/2020,CS,WW,INF-01,R201004-11131,E537,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,83,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,94,0,0,PERCENT,
NPD100051624,11/17/2020,846,12/2/2020,CS,WW,INF-03,R201004-11133,E537,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,94,0,0,PERCENT,
NPD100051624,11/17/2020,1100,12/2/2020,CS,SL,BP CAKE,R201004-11134,E537,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,106,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C8PFOS,Perfluoro-1-[13C8]octanesulfonate,SU,94,0,0,PERCENT,
NPD100051624,11/17/2020,756,12/2/2020,CS,WW,EFF-001A,R201004-11130,E537,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,97,0,0,PERCENT,
NPD100051624,11/17/2020,900,12/2/2020,CS,WW,INF-02,R201004-11132,E537,13C8PFOSA,13C8 Perfluorooctane sulfonamide,SU,77,0,0,PERCENT,
