GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,8,5.4,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,10:2FTS,10:2 Fluorotelomer sulfonic acid,ND,0,8,5.4,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,10:2FTS,10:2 Fluorotelomer sulfonic acid,<,5.4,8,5.4,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,10:2FTS,10:2 Fluorotelomer sulfonic acid,<,5.4,8,5.4,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,<,1.4,5,1.4,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,5,1.4,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,<,1.4,5,1.4,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,0,5,1.4,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,3:3FTCA,"4,4,5,5,6,6,6-Heptafluorohexanoic Acid",<,2.3,5,2.3,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,3:3FTCA,"4,4,5,5,6,6,6-Heptafluorohexanoic Acid",ND,0,5,2.3,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,3:3FTCA,"4,4,5,5,6,6,6-Heptafluorohexanoic Acid",<,2.3,5,2.3,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,3:3FTCA,"4,4,5,5,6,6,6-Heptafluorohexanoic Acid",ND,0,5,2.3,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,<,2,5,2,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,<,2,5,2,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,5,2,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,0,5,2,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,5:3FTCA,"2H,2H,3H,3H-Perfluorooctanoic Acid",<,4.1,8,4.1,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,5:3FTCA,"2H,2H,3H,3H-Perfluorooctanoic Acid",ND,0,8,4.1,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,5:3FTCA,"2H,2H,3H,3H-Perfluorooctanoic Acid",<,4.1,8,4.1,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,5:3FTCA,"2H,2H,3H,3H-Perfluorooctanoic Acid",ND,0,8,4.1,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,<,1.5,5,1.5,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,<,1.5,5,1.5,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,5,1.5,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,0,5,1.5,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,7:3FTCA,"2H,2H,3H,3H-Perfluorodecanoic acid",<,4.2,8,4.2,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,7:3FTCA,"2H,2H,3H,3H-Perfluorodecanoic acid",ND,0,8,4.2,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,7:3FTCA,"2H,2H,3H,3H-Perfluorodecanoic acid",<,4.2,8,4.2,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,7:3FTCA,"2H,2H,3H,3H-Perfluorodecanoic acid",ND,0,8,4.2,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,<,1.3,5,1.3,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,<,1.3,5,1.3,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,5,1.3,NG/L,
WDR100035948,1/11/2021,1325,1/23/2021,CS,WW,EB_SB_REC_H2O,SB_Rec_Water_34 Equipment,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,0,5,1.3,NG/L,
WDR100035948,1/11/2021,1315,1/23/2021,CS,WW,EB_SB_OUTFALL,SB_Outfall_01 Equipment B,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,<,0.86,5,0.86,NG/L,
