wwtp,samp_date,parameter,effluent,influent,difference,formation
Camrosa Water Reclamation Facility,2020-11-24,PFBS,13,1.9,11.1,TRUE
Camrosa Water Reclamation Facility,2020-11-24,PFHpA,2.5,0,2.5,TRUE
Camrosa Water Reclamation Facility,2020-11-24,PFHxA,43,0,43,TRUE
Camrosa Water Reclamation Facility,2020-11-24,PFOA,17,0,17,TRUE
Camrosa Water Reclamation Facility,2021-03-22,PFBS,14,1.3,12.7,TRUE
Camrosa Water Reclamation Facility,2021-03-22,PFHpA,4.1,0,4.1,TRUE
Camrosa Water Reclamation Facility,2021-03-22,PFHxA,73,0,73,TRUE
Camrosa Water Reclamation Facility,2021-03-22,PFOA,43,0,43,TRUE
Camrosa Water Reclamation Facility,2021-03-22,PFPA,100,0,100,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFBA,2.6,0,2.6,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFBS,16,0,16,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFDA,2.9,0,2.9,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFHxA,47,5.3,41.7,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFOA,33,2.3,30.7,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFOS,4.6,1.8,2.8,TRUE
Camrosa Water Reclamation Facility,2021-05-26,PFPA,74,3.7,70.3,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFBA,8.8,3,5.800000000000001,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFBS,16,1.1,14.9,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFHpA,3.5,0,3.5,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFHxA,39,6.7,32.3,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFOA,21,3.7,17.3,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFOS,2.4,0,2.4,TRUE
Camrosa Water Reclamation Facility,2021-08-18,PFPA,80,4.2,75.8,TRUE
Carpinteria SD WWTP,2020-12-01,PFHxA,35.5,22,13.5,TRUE
Carpinteria SD WWTP,2021-03-10,PFHxA,30,17,13,TRUE
Carpinteria SD WWTP,2021-06-09,PFDA,2.8,0,2.8,TRUE
Carpinteria SD WWTP,2021-06-09,PFHxA,29,10,19,TRUE
Carpinteria SD WWTP,2021-06-09,PFOA,11,5.4,5.6,TRUE
Carpinteria SD WWTP,2021-06-09,PFOS,5.449999999999999,0,5.449999999999999,TRUE
Carpinteria SD WWTP,2021-06-09,PFPA,23,12,11,TRUE
Carpinteria SD WWTP,2021-09-22,PFBA,9.2,0,9.2,TRUE
Carpinteria SD WWTP,2021-09-22,PFBS,11.5,0,11.5,TRUE
Carpinteria SD WWTP,2021-09-22,PFDA,2.3,0,2.3,TRUE
Carpinteria SD WWTP,2021-09-22,PFHpA,4.35,0,4.35,TRUE
Carpinteria SD WWTP,2021-09-22,PFHxA,43.5,4.949999999999999,38.55,TRUE
Carpinteria SD WWTP,2021-09-22,PFOA,16.5,2.6,13.9,TRUE
Carpinteria SD WWTP,2021-09-22,PFOS,4.2,0,4.2,TRUE
Carpinteria SD WWTP,2021-09-22,PFPA,53.5,0,53.5,TRUE
City of San Clemente WRP,2021-01-30,6:2FTS,5.54,0,5.54,TRUE
City of San Clemente WRP,2021-01-30,PFBA,11.1,5.74,5.359999999999999,TRUE
City of San Clemente WRP,2021-01-30,PFDA,4.27,0,4.27,TRUE
City of San Clemente WRP,2021-01-30,PFHpA,10.5,3.46,7.04,TRUE
City of San Clemente WRP,2021-01-30,PFHxA,95.3,14.3,81,TRUE
City of San Clemente WRP,2021-01-30,PFNA,3.98,0,3.98,TRUE
City of San Clemente WRP,2021-01-30,PFOA,44,11.5,32.5,TRUE
City of San Clemente WRP,2021-01-30,PFOS,10.5,5.43,5.07,TRUE
City of San Clemente WRP,2021-01-30,PFPA,30.9,7.92,22.979999999999997,TRUE
City of San Clemente WRP,2020-11-09,6:2FTS,3.41,0,3.41,TRUE
City of San Clemente WRP,2020-11-09,PFHxA,36,33.2,2.799999999999997,TRUE
City of San Clemente WRP,2020-11-09,PFOS,7.38,4.79,2.59,TRUE
City of San Clemente WRP,2021-04-24,6:2FTS,3.1550000000000002,0,3.1550000000000002,TRUE
City of San Clemente WRP,2021-04-24,PFBA,7.105,4.4,2.705,TRUE
City of San Clemente WRP,2021-04-24,PFBS,8.14,3.21,4.930000000000001,TRUE
City of San Clemente WRP,2021-04-24,PFHxA,35.35,9.8,25.55,TRUE
City of San Clemente WRP,2021-04-24,PFOA,10.7,6.23,4.469999999999999,TRUE
City of San Clemente WRP,2021-04-24,PFOS,4.109999999999999,0,4.109999999999999,TRUE
City of San Clemente WRP,2021-04-24,PFPA,10.3,6.18,4.120000000000001,TRUE
City of San Clemente WRP,2021-07-22,PFBA,10,4.15,5.85,TRUE
City of San Clemente WRP,2021-07-22,PFHxA,37.1,13.7,23.400000000000002,TRUE
City of San Clemente WRP,2021-07-22,PFOA,15.5,7.85,7.65,TRUE
City of San Clemente WRP,2021-07-22,PFPA,17.2,7.15,10.049999999999999,TRUE
Donald C. Tillman WWRP,2020-10-05,PFDA,11.2,0,11.2,TRUE
Donald C. Tillman WWRP,2020-10-05,PFHxA,30.7,9.54,21.16,TRUE
Donald C. Tillman WWRP,2020-10-05,PFOA,34.2,0,34.2,TRUE
Donald C. Tillman WWRP,2020-10-05,PFPA,6.41,0,6.41,TRUE
Donald C. Tillman WWRP,2021-02-02,FOSA,4.52,0,4.52,TRUE
Donald C. Tillman WWRP,2021-02-02,PFBA,8.22,5.05,3.170000000000001,TRUE
Donald C. Tillman WWRP,2021-02-02,PFDA,6.85,0,6.85,TRUE
Donald C. Tillman WWRP,2021-02-02,PFHxA,32.9,6.31,26.59,TRUE
Donald C. Tillman WWRP,2021-02-02,PFOA,28.8,0,28.8,TRUE
Donald C. Tillman WWRP,2021-04-04,FOSA,4.8,0,4.8,TRUE
Donald C. Tillman WWRP,2021-04-04,PFHxA,22,10,12,TRUE
Donald C. Tillman WWRP,2021-04-04,PFOA,15.5,5.8,9.7,TRUE
Donald C. Tillman WWRP,2021-04-04,PFPA,4.81,0,4.81,TRUE
Donald C. Tillman WWRP,2021-07-07,FOSA,17.6,0,17.6,TRUE
Donald C. Tillman WWRP,2021-07-07,PFHxA,20.2,0,20.2,TRUE
Donald C. Tillman WWRP,2021-07-07,PFOA,9.81,0,9.81,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFBA,6.2,0,6.2,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFBS,2.9,0,2.9,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFHpA,3.6,0,3.6,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFHxA,43,25,18,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFOA,9.066666666666666,0,9.066666666666666,TRUE
