samp_date,field_pt_name,parameter,parameter_name,parvq,value,units,wwtp
12/1/2020,influent,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,0.44,NG/L,Carpinteria SD WWTP
12/1/2020,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,2.7,NG/L,Carpinteria SD WWTP
12/1/2020,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,2.7,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,0.61,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,0.51,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,0.89,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFBS,Perfluorobutanesulfonic acid,=,17,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFBS,Perfluorobutanesulfonic acid,=,12,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFBS,Perfluorobutanesulfonic acid,=,11,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFBS,Perfluorobutanesulfonic acid,=,20,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFBA,Perfluorobutyric acid,=,6.3,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFBA,Perfluorobutyric acid,=,8.5,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFBA,Perfluorobutyric acid,=,6.7,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFBA,Perfluorobutyric acid,=,9.1,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFHxA,Perfluorohexanoic acid,=,36,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHxA,Perfluorohexanoic acid,=,22,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFHxA,Perfluorohexanoic acid,=,35,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHxA,Perfluorohexanoic acid,=,22,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHpA,Perfluoroheptanoic acid,=,3.5,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFHpA,Perfluoroheptanoic acid,=,3,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFHpA,Perfluoroheptanoic acid,=,3,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHpA,Perfluoroheptanoic acid,=,3.6,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHxS,Perfluorohexanesulfonic acid,=,3.7,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFHxS,Perfluorohexanesulfonic acid,=,2,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFHxS,Perfluorohexanesulfonic acid,=,2,NG/L,Carpinteria SD WWTP
