wwtp,samp_date,field_pt_name,parameter,mean_value
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFBS,13
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFDA,1
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFHpA,2.5
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFHxA,43
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFOA,17
Camrosa Water Reclamation Facility,2020-11-24,effluent,PFOS,1.6
Camrosa Water Reclamation Facility,2020-11-24,influent,PFBS,1.9
Camrosa Water Reclamation Facility,2021-03-22,effluent,NMEFOSAA,0.42
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFBS,14
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFDA,1.6
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFHpA,4.1
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFHxA,73
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFHxS,0.94
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFNA,0.97
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFOA,43
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFOS,2.1
Camrosa Water Reclamation Facility,2021-03-22,effluent,PFPA,100
Camrosa Water Reclamation Facility,2021-03-22,influent,PFBS,1.3
Camrosa Water Reclamation Facility,2021-03-22,influent,PFHxS,0.49
Camrosa Water Reclamation Facility,2021-03-22,influent,PFOS,1.2
Camrosa Water Reclamation Facility,2021-05-26,effluent,NMEFOSAA,1.4
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFBA,2.6
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFBS,16
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFDA,2.9
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFHxA,47
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFHxS,3.1
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFNA,1.6
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFOA,33
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFOS,4.6
Camrosa Water Reclamation Facility,2021-05-26,effluent,PFPA,74
Camrosa Water Reclamation Facility,2021-05-26,influent,PFHxA,5.3
Camrosa Water Reclamation Facility,2021-05-26,influent,PFHxS,1.6
Camrosa Water Reclamation Facility,2021-05-26,influent,PFOA,2.3
Camrosa Water Reclamation Facility,2021-05-26,influent,PFOS,1.8
Camrosa Water Reclamation Facility,2021-05-26,influent,PFPA,3.7
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFBA,8.8
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFBS,16
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFDA,1.8
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFHpA,3.5
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFHxA,39
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFHxS,0.92
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFNA,1.1
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFOA,21
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFOS,2.4
Camrosa Water Reclamation Facility,2021-08-18,effluent,PFPA,80
Camrosa Water Reclamation Facility,2021-08-18,influent,8:2FTS,1.1
Camrosa Water Reclamation Facility,2021-08-18,influent,PFBA,3
Camrosa Water Reclamation Facility,2021-08-18,influent,PFBS,1.1
Camrosa Water Reclamation Facility,2021-08-18,influent,PFHxA,6.7
Camrosa Water Reclamation Facility,2021-08-18,influent,PFOA,3.7
Camrosa Water Reclamation Facility,2021-08-18,influent,PFPA,4.2
Carpinteria SD WWTP,2020-12-01,effluent,NETFOSAA,0.56
Carpinteria SD WWTP,2020-12-01,effluent,NMEFOSAA,0.9450000000000001
Carpinteria SD WWTP,2020-12-01,effluent,PFBA,6.5
Carpinteria SD WWTP,2020-12-01,effluent,PFBS,11.5
Carpinteria SD WWTP,2020-12-01,effluent,PFDA,1.65
Carpinteria SD WWTP,2020-12-01,effluent,PFHpA,3
Carpinteria SD WWTP,2020-12-01,effluent,PFHxA,35.5
Carpinteria SD WWTP,2020-12-01,effluent,PFHxS,1.95
Carpinteria SD WWTP,2020-12-01,effluent,PFNA,1.25
Carpinteria SD WWTP,2020-12-01,effluent,PFOA,9.45
Carpinteria SD WWTP,2020-12-01,effluent,PFOS,3.85
Carpinteria SD WWTP,2020-12-01,effluent,PFPA,24.5
Carpinteria SD WWTP,2020-12-01,influent,ADONA,0.44
Carpinteria SD WWTP,2020-12-01,influent,MEFOSE,2.7
Carpinteria SD WWTP,2020-12-01,influent,PFBA,8.8
Carpinteria SD WWTP,2020-12-01,influent,PFBS,18.5
Carpinteria SD WWTP,2020-12-01,influent,PFDA,0.875
Carpinteria SD WWTP,2020-12-01,influent,PFHpA,3.55
Carpinteria SD WWTP,2020-12-01,influent,PFHxA,22
Carpinteria SD WWTP,2020-12-01,influent,PFHxS,2.85
Carpinteria SD WWTP,2020-12-01,influent,PFNA,0.96
Carpinteria SD WWTP,2020-12-01,influent,PFOA,8.15
Carpinteria SD WWTP,2020-12-01,influent,PFOS,3.5999999999999996
Carpinteria SD WWTP,2020-12-01,influent,PFPA,34
Carpinteria SD WWTP,2020-12-01,influent,PFPES,1.05
Carpinteria SD WWTP,2021-03-10,effluent,NETFOSAA,0.505
Carpinteria SD WWTP,2021-03-10,effluent,NMEFOSAA,1.75
Carpinteria SD WWTP,2021-03-10,effluent,PFBA,5.550000000000001
Carpinteria SD WWTP,2021-03-10,effluent,PFBS,3.8
Carpinteria SD WWTP,2021-03-10,effluent,PFDA,2.05
Carpinteria SD WWTP,2021-03-10,effluent,PFHpA,2.3499999999999996
Carpinteria SD WWTP,2021-03-10,effluent,PFHxA,30
Carpinteria SD WWTP,2021-03-10,effluent,PFHxS,1.45
Carpinteria SD WWTP,2021-03-10,effluent,PFNA,0.935
Carpinteria SD WWTP,2021-03-10,effluent,PFOA,10.3
Carpinteria SD WWTP,2021-03-10,effluent,PFOS,3.3499999999999996
Carpinteria SD WWTP,2021-03-10,effluent,PFPA,11
Carpinteria SD WWTP,2021-03-10,influent,8:2FTS,2.75
Carpinteria SD WWTP,2021-03-10,influent,ADONA,0.815
Carpinteria SD WWTP,2021-03-10,influent,MEFOSE,1.4500000000000002
Carpinteria SD WWTP,2021-03-10,influent,NMEFOSAA,0.55
Carpinteria SD WWTP,2021-03-10,influent,PFBA,6.85
Carpinteria SD WWTP,2021-03-10,influent,PFBS,6.55
Carpinteria SD WWTP,2021-03-10,influent,PFDA,4.15
Carpinteria SD WWTP,2021-03-10,influent,PFDoA,1.25
Carpinteria SD WWTP,2021-03-10,influent,PFDS,1.6
Carpinteria SD WWTP,2021-03-10,influent,PFHpA,4.5
Carpinteria SD WWTP,2021-03-10,influent,PFHxA,17
Carpinteria SD WWTP,2021-03-10,influent,PFHxS,1.9500000000000002
Carpinteria SD WWTP,2021-03-10,influent,PFNA,2.55
Carpinteria SD WWTP,2021-03-10,influent,PFOA,9.5
Carpinteria SD WWTP,2021-03-10,influent,PFOS,4.3
Carpinteria SD WWTP,2021-03-10,influent,PFPA,11
Carpinteria SD WWTP,2021-03-10,influent,PFTA,0.47
Carpinteria SD WWTP,2021-03-10,influent,PFUnA,1.15
Carpinteria SD WWTP,2021-06-09,effluent,8:2FTS,0.52
Carpinteria SD WWTP,2021-06-09,effluent,NMEFOSAA,1.85
Carpinteria SD WWTP,2021-06-09,effluent,PFBA,9
Carpinteria SD WWTP,2021-06-09,effluent,PFBS,3.05
Carpinteria SD WWTP,2021-06-09,effluent,PFDA,2.8
Carpinteria SD WWTP,2021-06-09,effluent,PFHpA,3.15
Carpinteria SD WWTP,2021-06-09,effluent,PFHxA,29
Carpinteria SD WWTP,2021-06-09,effluent,PFHxS,1.95
Carpinteria SD WWTP,2021-06-09,effluent,PFNA,1.3
Carpinteria SD WWTP,2021-06-09,effluent,PFOA,11
Carpinteria SD WWTP,2021-06-09,effluent,PFOS,5.449999999999999
Carpinteria SD WWTP,2021-06-09,effluent,PFPA,23
Carpinteria SD WWTP,2021-06-09,influent,8:2FTS,2.3499999999999996
Carpinteria SD WWTP,2021-06-09,influent,PFBA,7.15
Carpinteria SD WWTP,2021-06-09,influent,PFBS,6.4
Carpinteria SD WWTP,2021-06-09,influent,PFHpA,2.8
Carpinteria SD WWTP,2021-06-09,influent,PFHpS,1.4
Carpinteria SD WWTP,2021-06-09,influent,PFHxA,10
Carpinteria SD WWTP,2021-06-09,influent,PFNA,0.9650000000000001
Carpinteria SD WWTP,2021-06-09,influent,PFOA,5.4
Carpinteria SD WWTP,2021-06-09,influent,PFPA,12
Carpinteria SD WWTP,2021-09-22,effluent,PFBA,9.2
Carpinteria SD WWTP,2021-09-22,effluent,PFBS,11.5
Carpinteria SD WWTP,2021-09-22,effluent,PFDA,2.3
Carpinteria SD WWTP,2021-09-22,effluent,PFHpA,4.35
Carpinteria SD WWTP,2021-09-22,effluent,PFHxA,43.5
Carpinteria SD WWTP,2021-09-22,effluent,PFHxS,1.7
Carpinteria SD WWTP,2021-09-22,effluent,PFOA,16.5
Carpinteria SD WWTP,2021-09-22,effluent,PFOS,4.2
Carpinteria SD WWTP,2021-09-22,effluent,PFPA,53.5
Carpinteria SD WWTP,2021-09-22,influent,ETFOSA,13
Carpinteria SD WWTP,2021-09-22,influent,PFHxA,4.949999999999999
Carpinteria SD WWTP,2021-09-22,influent,PFOA,2.6
Carpinteria SD WWTP,2021-09-22,influent,PFTA,3.5999999999999996
Carpinteria SD WWTP,2021-09-22,influent,PFTrDA,2.2
City of San Clemente WRP,2021-01-30,effluent,6:2FTS,5.54
City of San Clemente WRP,2021-01-30,effluent,PFBA,11.1
City of San Clemente WRP,2021-01-30,effluent,PFBS,9.98
City of San Clemente WRP,2021-01-30,effluent,PFDA,4.27
City of San Clemente WRP,2021-01-30,effluent,PFHpA,10.5
City of San Clemente WRP,2021-01-30,effluent,PFHxA,95.3
City of San Clemente WRP,2021-01-30,effluent,PFNA,3.98
City of San Clemente WRP,2021-01-30,effluent,PFOA,44
City of San Clemente WRP,2021-01-30,effluent,PFOS,10.5
City of San Clemente WRP,2021-01-30,effluent,PFPA,30.9
City of San Clemente WRP,2021-01-30,influent,PFBA,5.74
City of San Clemente WRP,2021-01-30,influent,PFBS,8.94
City of San Clemente WRP,2021-01-30,influent,PFHpA,3.46
City of San Clemente WRP,2021-01-30,influent,PFHxA,14.3
City of San Clemente WRP,2021-01-30,influent,PFOA,11.5
City of San Clemente WRP,2021-01-30,influent,PFOS,5.43
City of San Clemente WRP,2021-01-30,influent,PFPA,7.92
City of San Clemente WRP,2020-11-09,effluent,6:2FTS,3.41
City of San Clemente WRP,2020-11-09,effluent,PFBA,7.97
City of San Clemente WRP,2020-11-09,effluent,PFBS,8.42
City of San Clemente WRP,2020-11-09,effluent,PFDA,3.9
City of San Clemente WRP,2020-11-09,effluent,PFHpA,5.9
City of San Clemente WRP,2020-11-09,effluent,PFHxA,36
City of San Clemente WRP,2020-11-09,effluent,PFNA,3.37
City of San Clemente WRP,2020-11-09,effluent,PFOA,14
City of San Clemente WRP,2020-11-09,effluent,PFOS,7.38
City of San Clemente WRP,2020-11-09,effluent,PFPA,22.1
City of San Clemente WRP,2020-11-09,influent,PFBA,10.25
City of San Clemente WRP,2020-11-09,influent,PFBS,18.35
City of San Clemente WRP,2020-11-09,influent,PFDA,6.07
City of San Clemente WRP,2020-11-09,influent,PFDS,3.34
City of San Clemente WRP,2020-11-09,influent,PFHpA,8.215
City of San Clemente WRP,2020-11-09,influent,PFHxA,33.2
City of San Clemente WRP,2020-11-09,influent,PFHxS,3.335
City of San Clemente WRP,2020-11-09,influent,PFNA,4.045
City of San Clemente WRP,2020-11-09,influent,PFOA,18.75
City of San Clemente WRP,2020-11-09,influent,PFOS,4.79
City of San Clemente WRP,2020-11-09,influent,PFPA,20.95
City of San Clemente WRP,2020-11-09,influent,PFPES,7.199999999999999
City of San Clemente WRP,2021-04-24,effluent,6:2FTS,3.1550000000000002
City of San Clemente WRP,2021-04-24,effluent,PFBA,7.105
City of San Clemente WRP,2021-04-24,effluent,PFBS,8.14
City of San Clemente WRP,2021-04-24,effluent,PFHpA,3.485
City of San Clemente WRP,2021-04-24,effluent,PFHxA,35.35
City of San Clemente WRP,2021-04-24,effluent,PFOA,10.7
City of San Clemente WRP,2021-04-24,effluent,PFOS,4.109999999999999
City of San Clemente WRP,2021-04-24,effluent,PFPA,10.3
City of San Clemente WRP,2021-04-24,influent,PFBA,4.4
City of San Clemente WRP,2021-04-24,influent,PFBS,3.21
City of San Clemente WRP,2021-04-24,influent,PFHpA,2.6
City of San Clemente WRP,2021-04-24,influent,PFHxA,9.8
City of San Clemente WRP,2021-04-24,influent,PFOA,6.23
City of San Clemente WRP,2021-04-24,influent,PFPA,6.18
City of San Clemente WRP,2021-07-22,effluent,PFBA,10
City of San Clemente WRP,2021-07-22,effluent,PFDA,2.09
City of San Clemente WRP,2021-07-22,effluent,PFHpA,4.48
City of San Clemente WRP,2021-07-22,effluent,PFHxA,37.1
City of San Clemente WRP,2021-07-22,effluent,PFOA,15.5
City of San Clemente WRP,2021-07-22,effluent,PFPA,17.2
City of San Clemente WRP,2021-07-22,influent,PFBA,4.15
City of San Clemente WRP,2021-07-22,influent,PFDA,2.53
City of San Clemente WRP,2021-07-22,influent,PFHpA,3.77
